trade_id,trade_id_type,trade_version,product_type,currency,option_type,notional,trade_date,strike,expiry_date,maturity_date,counterparty_id,expiry_tenor,maturity_tenor,ifrs13_level,Day1_Pnl
HACKTRD0864,HackTradeID,3,IR Swaption,USD,Payer,41300000,2024-11-22,3.32,2026-03-11,2055-01-26,CPTY8246,5,20,Level 3,No
HACKTRD0796,HackTradeID,1,IR Swaption,USD,Receiver,49900000,2024-08-10,3.72,2026-12-17,2050-08-29,CPTY8620,5,5,Level 2,No
HACKTRD0416,HackTradeID,4,IR Swaption,EUR,Receiver,31100000,2024-06-07,3.64,2024-07-21,2048-12-25,CPTY8462,1,5,Level 3,Yes
HACKTRD0291,HackTradeID,3,IR Swaption,USD,Payer,63900000,2024-07-29,1.07,2026-05-09,2049-01-04,CPTY1009,2,10,Level 3,No
HACKTRD0082,HackTradeID,4,IR Swaption,USD,Payer,82800000,2023-08-29,2.23,2028-12-26,2029-02-08,CPTY4177,2,20,Level 3,No
HACKTRD0753,HackTradeID,1,IR Swaption,EUR,Payer,93100000,2024-11-30,3.92,2026-01-28,2053-12-22,CPTY3135,3,30,Level 3,Yes
HACKTRD0759,HackTradeID,1,IR Swaption,USD,Payer,81100000,2024-03-19,0.85,2029-03-16,2039-06-05,CPTY4676,2,15,Level 2,No
HACKTRD0937,HackTradeID,2,IR Swaption,GBP,Payer,77200000,2025-04-19,1.01,2026-12-11,2046-04-03,CPTY6204,5,30,Level 3,Yes
HACKTRD0875,HackTradeID,1,IR Swaption,USD,Payer,46100000,2025-01-03,3.09,2029-06-28,2055-04-12,CPTY2375,5,30,Level 3,No
HACKTRD0500,HackTradeID,1,IR Swaption,USD,Receiver,21600000,2023-10-11,2.04,2025-10-26,2055-04-20,CPTY5897,2,30,Level 3,No
HACKTRD0985,HackTradeID,3,IR Swaption,JPY,Receiver,7500000,2023-07-04,3.69,2029-09-11,2039-07-29,CPTY6192,3,15,Level 3,Yes
HACKTRD0438,HackTradeID,3,IR Swaption,USD,Receiver,11600000,2024-06-17,2.24,2027-12-02,2034-03-12,CPTY1986,5,10,Level 3,No
HACKTRD0229,HackTradeID,1,IR Swaption,USD,Receiver,79900000,2024-04-29,0.67,2028-01-28,2029-04-12,CPTY4228,5,5,Level 2,No
HACKTRD0146,HackTradeID,1,IR Swaption,USD,Payer,7600000,2024-05-11,2.21,2029-05-18,2028-08-20,CPTY1984,2,15,Level 3,No
HACKTRD0667,HackTradeID,1,IR Swaption,USD,Receiver,56500000,2023-12-22,2.67,2030-04-25,2035-05-05,CPTY6929,5,10,Level 3,Yes
